text,l1,child_id,age,source_file
mom why are you f why are you doing farsi then he say okay i'm not doing anymore he always um hiding ah farsi i can i i can i can talk um french um i can write i can write one that means gugendo gugendo is finished you know um aw you know aw that means yes um go to schoo i have a two school one in dennis's school one in here um i don't like,Farsi,BNFS1,73,bnfs1.cha
my um my dad say you have to tal you cannot talk english have to talk farsi i don't like talk i like game um my dinosaur is good i i know how to play game um dinosaur game there's a is t rex t rex you have to push something you have to push this way so you can go go go you have t you have to come here,Farsi,BNFS1,73,bnfs1.cha
and then if you're here you have to fight fight fight fight go go go and then you go then they this way this way go run then you can't hurt it they will get hurt you and then you have to go start it one more time then you have to do it hard yeah i can write um um ah i like octopus um fra water yeah shark and jumongous whale i've a song,Farsi,BNFS1,73,bnfs1.cha
my teacher always i go to in my home then my teacher um use it for music dyou wanna listen um dyou wanna listen ah rainbow fish or um super fish um next time um i go to ah no um slippy fish slippy fish working in the water slippy fish slippy fish um then they get eat it octopus octopus working in the water octopus octopus going gone work um tuna fish no um tuna fish eat,Farsi,BNFS1,73,bnfs1.cha
um tuna fish eat octopus and then the uh tuna fish tuna fish sliding over water tuna fish tuna fish working in the water and then goes top and then a shark eat tuna fish and ah um i forgot um my my birthday in classroom no no i have a song a shark one um great big shark great big shark slipping over water great big shark um then goes stop it and then uh eat the,Farsi,BNFS1,73,bnfs1.cha
the eat the shark uh no no uh jumongous whale eat octo um yeah jumongous whale jumongous whale is big fish big fish eating um i have a song um jumongous whale jumongous whale working in the water singing a song jumongous whale and then she eat all fish and then ah she eat ah she eat all fish and then they let him go octopus octopus they let him go and then octopus farted all people farted,Farsi,BNFS1,73,bnfs1.cha
fishie game uh fishie game i draw fish i draw something no i draw my mom say you have to push this way shark came uh farted shark and farted i have a shark my teacher give me shark then uh my uh my far my shark then i put flower on it here then i put my name can we play game um um something different game d d dog oh yeah dog,Farsi,BNFS1,73,bnfs1.cha
i i have a b um i go to i see pon on field trip no i see j a duck bunny um horse um big duck and father duck and baby duck yeah mm chicken i don't know it doesn't make sounds i have a i give her um one man um one man give him a bath then i give a pony and then i kiss the pony pony doesn't want to bite you,Farsi,BNFS1,73,bnfs1.cha
i give i give it um i give it uh for pig pig kiss you and i see a rabbit i see everything baby duck are um i see baby duck is colour yellow just came home on field trip um ten duck mother duck say they make big sounds i i see mother duck father duck brother duck and baby duck and sister duck i uh father duck then i say oh over there father duck hello father duck,Farsi,BNFS1,73,bnfs1.cha
i go to um a field trip on halloween day and christmas time i see pony at christmas time there's a big santa on christmas time i go to picture there's a big santa i have um i paint at my school i draw um on thursday um um on on saturday i go to school and i draw and i draw halloween yesterday i was i was go to grade,Farsi,BNFS1,73,bnfs1.cha
no i was um yesterday i go to dennis's school and i make santa i draw her toes black and i draw her for everything colour and i then after santa then become santa santa then santa they they said me what dyou like and i say yeah and games no i wish i have a sticker baby a sticker baby and i ha um i wish i have a sticker baby and a skipping ro,Farsi,BNFS1,73,bnfs1.cha
and i i i go to my school i have a computers i have a gym in my school and recess and music you have to read it book then you have to put it you have to sunday you have to give it books then library sunday and monday tuesday in school this's school or diem's school yeah no gym um uh um games are computer and skipping rope i know how to do skipping rope,Farsi,BNFS1,73,bnfs1.cha
you have to have to uh is ten then you have to jump on then uh sk skipping rope can go um slippy fish no yeah i have i have a i have a big big ball and i jump then a small ball i win and i win my friends are i i have a ten goal i have i wish i have a big ball to on goal i try one one ball i can't do it,Farsi,BNFS1,73,bnfs1.cha
i k i can do small ball small ball on on games yeah and red my friend all the time like be pink um my first friend look like uh monkey s'not really monkey i like i like brown green and barbies no and green i like red i like blue,Farsi,BNFS1,73,bnfs1.cha
uh ah mister ay um do mondays uh play outside uh play too play with toys uh a bigger a one bigger another one bigger a one bigger uh i don't know i don't know uh sandwich y toy n uh toys y a hot dog y hot dog uh uh my favourite candy is uh uh eh uh jackie peter y uh erin no i don't know i don't know what the peter y a colour there,Spanish,BRND1,66,brnd1.cha
i chew this because because everybody squish fai no fai laughs uh y i got a story bigger than this and fight like this y y no the uh it's rice uh how this uh this guy this guy me and that yeah yeah i hate him and this too this is spice this yeah i know y y y y i cook them i had this uh like this uh i put dinosaurs in there yeah y i the,Spanish,BRND1,66,brnd1.cha
uh that bzh i i got that a good one dinosaur one little bzh uh is gone now i eating it uh my name um name them my sister because is jaimenju i like my my baby i i play for my brother i play nintendo for my brother there i play for my brother cars no five is uh um finding pokemon y i see movies y i want dinosaur uh is climb uh spiderman do a this psh,Spanish,BRND1,66,brnd1.cha
y y fly y y y dinosaurs is come here i will spiderman is a this wanna i wanna get i wanna a supe a superman i i want superman uh a this uh he he spiderman is grab is go like this down he hit he hit uh uh i was spiderman y is come a dinosaur um him fly him fly y hit him boom him jump y hit y hit him hit him like this boom,Spanish,BRND1,66,brnd1.cha
y spiderman go like this this because him get a this my favourite game i did a this you go the this uh my brother ah my brother say y i i no stop yeah i win uh uh a black y a red y a red mmm like this y a y a this see y y a this uh mmm like this my favourite toys ah my my brother big this one bigger,Spanish,BRND1,66,brnd1.cha
y y i pick this one mmm my brother pick this one i pick this one my brother pick a other one mm i pick this one mmm my my brother pick this one i pick this one uh my my brother is a this biggest one y him dead y is coming this y i did yeah y is come this y y him is coming this y him this is coming this him him dead him dead too,Spanish,BRND1,66,brnd1.cha
him go like this him jump like this him get not get down this is this is a fibu ha a fibu so you a fibu him is you a fibu him a fibu him him did like this uh uh oh gus and naow uh y somebody is coming is coming is y y him go like this boom him do that and him got it y go boom boom is coming a i wanna hit him,Spanish,BRND1,66,brnd1.cha
i wanna stay now i wanna stay ah uh loliloli laughs uh jackie chan ah y y y spiderman no i don't know laughs i don't know monkeys laughs a t rex and a dinosaurs uh he dead y y y he is coming a dinosaur eat it eat it ah ah ah him this eat it this eat it i wanna eat uh him hungry y this is y this is go like this i see ah oh there,Spanish,BRND1,66,brnd1.cha
y y i play uh with car is coming spiderman this i with cars i see him fly yeah he fly uh he's like this he is he is here a dinosaur ate y uh ate d uh a a you a this and this uh uh ate d this come no this is coming is go like this y y y y y y y go y y y y y is coming right there i want a this,Spanish,BRND1,66,brnd1.cha
i want is a this y y is is stronger him i want is stronger him i want a littlest somebody and little bit no uh little a just little little little and that y y y y him y him is get a head y y is because here your head is strong y y not yeah and then buzh is not now a a a a a a chunk a a sh a a that a that toy,Spanish,BRND1,66,brnd1.cha
a this toys a that toy is is a this is not this boom boom is go like this boom he he hand go right here is is our and this is go like this h him dead i see i i see at my school i go outside at my school and like this i y y is a this a a a snow is go right here uh what what here's i coming i coming,Spanish,BRND1,66,brnd1.cha
one now y i come a mama i do snowball y a throw a a mo a a peter threw i threw i threw a snow at peter yeah a peter y is coming you have to uh i like this y i throw back i don't know uh i go a bus y stuck on the and teacher say i put glue right here and glue right here i i did water right here and right here too,Spanish,BRND1,66,brnd1.cha
uh ice cream uh and uh i don't know uh play laughs and my mom play too and my pa and my brother y y y mama is my mom is win all time i no win mama my pa y y my my brother and me win my mom win uh uh i i play uh pokemon uh i i i i wanna i wanna play a pokemon this a pokemon this y y i want pokemon like this,Spanish,BRND1,66,brnd1.cha
y y is come y i want pok go y i y i did a y i did a is like this y him do i i do water y he head go like this and then pika i i like this i don't know huh i don't know uh they water i do water right here y y he have y now is like this now a this y him dead because he no got this i i yeah,Spanish,BRND1,66,brnd1.cha
y him dead now no a pumpkin i go a a this i put i put my in in a pumpkin no i i a this at my school is today i got happy birthday y y at school i got happy birthday my at school i passed laughs y i go is spiderman in a pumpkin i i put i put i put i had little little laughs i had little i had little trick or trick or treat,Spanish,BRND1,66,brnd1.cha
uh i don't know because i no stay gimme a candy i get you you you you back i get you back because he not gimme my candy i y i go y i go like this i go my house laughs uh no i like a t rex i like a t rex no and that him him this is him this is a this y y y y this is him him did it uh,Spanish,BRND1,66,brnd1.cha
him him get me he kick me a this him did a this he push me i i i can i can ride is is bicycle i can ride is bicycle uh no a bicycle i can ride i can ride a bicycle uh in at school it it fast than my my my my skateboard y i got a skateboard i y i is is is some ah some i saw this i i did a this,Spanish,BRND1,66,brnd1.cha
i do i do this i put back y i did a this i did this i get a a skateboard i go a this y y y go a uh again i go up up up up up y y i y go down i i i did a this i go i did a this i did it a this i don't know laughs i did it i is this one the this no uh this,Spanish,BRND1,66,brnd1.cha
boing boing boing pfff is jump a this a big one i like a big one i play soccer for my friends i i i i over here y i got a ball i got a basketball i did it i jump is higher i jump boom is got one i got i won i win y y go outside uh uh eat eat eat y y go this pfff and this ahh nothing a this uh i play,Spanish,BRND1,66,brnd1.cha
i i i run i go down because because somebody is push me i go pfff y i y i come my skateboard in snow i come my skateboard in snow in the snow y i go down i y i did it like this i did it magic yeah i did it i went this yeah y y push y somebody is push y somebody is like this y y somebody is go,Spanish,BRND1,66,brnd1.cha
is somebody is go out um ah up up up up y go down boom y y him dead a t rex my mom is go i go i go y a bathroom i throw it i know laughs,Spanish,BRND1,66,brnd1.cha
um november twenty six uh my birthday was at school um my mom brings my mom brings my mom bring for me a little bit of uh donuts let me try i think i like that one too but i didn't try it grade six teacher miss aitch and missus are both in the s in the same classroom um i like because i can write i can do everything that i want to,Romanian,CHRS1,74,chrs1.cha
i only that i just i just uh i just play with some friends all of a lot of times and that's make me very sad i don't like play with the same friends a lot of times i like i like computers with missus sometimes yes sometime no like um we can just play a little we can just we can just play with with some pictures and drawing and colouring too and a santa too,Romanian,CHRS1,74,chrs1.cha
um mustafa is a boy and maha is a girl she my best friend maha and feena and jamie they're my best best friends sometimes but sometimes they don't like me have to play with sometimes i have to play with some some other friends uh we just we can get s we can just play some games in a classroom and we have some we can just play games in the classroom,Romanian,CHRS1,74,chrs1.cha
sometimes we can play like can play simon says we can play a game like that s um miss aitch have to say something if she didn't say simon says you have to do what you can you can't do that and you have to sit down um only one time i win not school kindergarten because here we can work and there we can play more like my dad like my mom's mom but my grandma died,Romanian,CHRS1,74,chrs1.cha
i just play games in canada more a little bit ko sometimes when it's windy right here i like snowy to do snowballs and do snowman i take with jenny today there's one hill up here like that can see from there i like skating too i can skate fast yeah well i learned one time one time i i start to skate very fast and do you know what i skate i start to skate very fast,Romanian,CHRS1,74,chrs1.cha
i like potatoes and let me think like you can just do some potatoes on on the oven and you can put some cheese on them then you're finished uh i know how to make sandwiches uh just you need two piece two pieces of bread and a little bit of cheese in it what you want to put in it you can put and potatoes too i wanna be a teacher and miss aitch because i like miss aitch,Romanian,CHRS1,74,chrs1.cha
and i wanna be a teacher like her i'm gonna teach i'm gonna play games with the kids if they are listening if they not i will go back to classroom ah clifford up the stairs up the stairs a little dog i can play games with him play barbies with him too i have big barbie i have one of these big like this that's a big one i i have a little barbie who have clothes,Romanian,CHRS1,74,chrs1.cha
but the big barbie don't yeah she that clothes because she's too big like have to be clothes i didn't find on the couldn't find clothes like that hide and seek uh somebody have to count and you have to just s hide and then the other people have to see you where you hide it's your turn to hide then the other one have to have to count like i like to see video with powerpuff girls,Romanian,CHRS1,74,chrs1.cha
um they're they're like little girls with one had one had pink eyes one had blue and one had green they are they just fly around the sky they destroy the world the monsters are coming i mean destroy the monsters my last movie i saw snow white and and cinderella the two stepsisters their mother and she have to clean the house she turn into a princess because she she's she's godmother make her like a beautiful,Romanian,CHRS1,74,chrs1.cha
she was a beautiful girl and then she was a pre then she turned into a princess because prince come and she dance with her a lot she was princess and the other two birds are were standing on the back like that i have a book with that i have a big book right there that too a little bit of pictures snow white she she turn into a princess too because is coming a prince,Romanian,CHRS1,74,chrs1.cha
but she was sleeping like big sleeping he was coming princess and the prince kiss snow white the magic like this um a a bad princess make her she maked about she self to be a little grandma who take a apple and and snow white take a little bit of the apple and she she just sleep a lot of sleep yeah seven dwarfs bi i know the sleepy there there was one who was very mean dyou know,Romanian,CHRS1,74,chrs1.cha
yeah he is so angry uh i don't like witches wishes i would be wanna wish to be a teacher and i i want my my class to be very quiet one more because that was i want to be a teacher uh and and i i was i want learn kids how to do some things yeah and one today was one hundred day we was coming to school one hundred days i didn't i didn't see a schedule,Romanian,CHRS1,74,chrs1.cha
because that's why teachers do that i i i pretended that it was christmas time i i just when i go to the morning with my dad mmm i open my presents when i come down i see my presents right there then i open them like this i get some kinder kinder surprise and i get some some barbies that big barbie like this one and a small one and and i get a book to learn,Romanian,CHRS1,74,chrs1.cha
like um reading book it's just to learn you can put stickers i have a sticker with powerpuff girls somewhere here but i dunno where i i do have a story with um i do have a story but i don't know where it is i i just did it on the computer well my mom helped me too i didn't write the whole book but i have i just write in some,Romanian,CHRS1,74,chrs1.cha
yeah but my mom was for my mom is book so she have to get it back she's not she's book that book is back already i can just read it i know what the pictures were about i know what picture were about about um a woman and a man and the them they did a they did like they did um uh let me think what that means they maked uh it's almost like a cake,Romanian,CHRS1,74,chrs1.cha
it's the same as like this is like a man they made a gingerbread man and the gingerbread man ran and had to catch and was coming a wolf um to catch them nobody catch them a lots of animals want to catch him but he run yeah and then somebody catch him like a bear a bear catch him like like like he just run like this he's like this then like this and the bear go like this,Romanian,CHRS1,74,chrs1.cha
and he he see like this and it it's starting to eat he can and he can and he can't he can't go out anymore even if you do it already you do it all over again i i go to jamie's house and i play with his his barbies and with she's barbies car i do have a barbie car i don't pink with a blue a pink one has music the blue one don't,Romanian,CHRS1,74,chrs1.cha
you just press some buttons and the buttons do some music and if you turn my mom can say i buy one too cause i have a lot of barbies i need one big i see in the superstore like this big car like this yeah big car no because they're little chairs like this that they only little barbies can fit there big barbies can't you can't get it in because it's just it's close already,Romanian,CHRS1,74,chrs1.cha
it's like this car you have to open the doors it's a a roof and i gonna do my school kind of things i need to do my school my home reading bag i like to read sometimes it's fun sometimes it's boring i don't sometimes i don't like stories sometimes i like play more uh today i was gonna i have gym we just play games,Romanian,CHRS1,74,chrs1.cha
but one day i miss aitch say to us we gonna play um um uh we gonna play hockey i get i was play uh ice hockey with some big boys i like christmas i like the best i like uh i like winter and uh i like winter and summer cause it's hot we can't we can't we can't skate we can't we can't do we cannot do um sledding,Romanian,CHRS1,74,chrs1.cha
i like fun cause it's it can just run fast and we can see the sun on the swimming pool you can just catch you can just catch some uh flowers and things like that yeah ice cream is very i have ice cream today yeah i have right there uh like with chocolate and mmm i dunno i think so no i didn't i'm gonna i'm gonna start more i gonna just try more than,Romanian,CHRS1,74,chrs1.cha
one night one year in romania i try like um pinocchio it's a just a form like this a pinocchio form ice cream yeah he's so funny i ha i have another story it's a i wanna show you other story this is the book i got to stick right here have to stick on this no cause that's right um here it look professor did the powerpuff girls right here and here they save the the f,Romanian,CHRS1,74,chrs1.cha
and buttercup see a jumping right there this is look where snow white is is on the first page look right here yeah i know see this sleeping beauty no can find the names right here snow white and the seven dwarves thirty feet the snow white uh cinderella i love brrrm brm i like cinderella i can read it sure i can some words i just need lots of stories are starting with once upon time,Romanian,CHRS1,74,chrs1.cha
and a little bit are starting with um long long ago because was a a long long ago not now free three more days ago yesterday yesterday was a who played that this is a beautiful picture look at the two stepsisters this is um i don't know what names they are i think this one is let me see what names they are look how she was a princess wait wait wait just wait here,Romanian,CHRS1,74,chrs1.cha
this is a was a princess i oh what's happen with the two little birds right here somewhere a little bird little birds in here was like a b big thing with yeah this one have to get right there and this mouse s was standing right here with a bee kind of thing right there this is like she's father it's always come down why it's always fall off this is a nice story she was is so beautiful,Romanian,CHRS1,74,chrs1.cha
look how she's coming right here that's with the princess this is prince look uh the stap the stepsister try it it's not working so the other one stepsister's working so now she try it she try it no she didn't try because the stepmother just put something like that on stick like this and the and the little um little i dunno what to say not a mouse with um she she had the other the other shoe look,Romanian,CHRS1,74,chrs1.cha
she had oth uh it's always come off i didn't see it i didn't read it ever i love this one i know what it what i know this is a girl and i have it i have it in my car i have this like this she's standing like that on everything i think so it's very terrible what is right here like this it always falls out okay the nother princess and another prince,Romanian,CHRS1,74,chrs1.cha
this is a a little boy who was a prince have to stay with a she's mom princess and she's prince the other one look how this is three step things i dunno them either like a steps she's very evil this like cinderella yeah this is like very look like cinderella just lovely their i like their hair both they're have a beautiful look this is um this is a bad little,Romanian,CHRS1,74,chrs1.cha
this is a bad little girl who one one one this this old dog look like here somewhere here is a picture when is like um let me see look right here how many is they are one two three four five six seven eight nine ten eleven twelve thirteen fourteen fifteen sixteen seventeen eighteen nineteen twenty twenty one twenty two twenty three twenty four whoa that's a lot look right here is some oh it's okay,Romanian,CHRS1,74,chrs1.cha
look um where is that thing where is it the three little pigs this is um right here the three little pigs is so beautiful but this is funny one this is a really funny one this is three little pigs and big bad wolf the three little pigs and big bad wolf um the three little pigs s um one likes to do castles one likes to do another castle one do another one do another castle,Romanian,CHRS1,74,chrs1.cha
one do a this do music they like music and one this do a castle and do music too look they're gonna blow this house down this is a so hard this is this is uh she's stepmother not the stepmother i have to do hearts and things like this valentine's day i just do valentine's this is from pinocchio um is like pinocchio uh i dunno pinocchio is twenty one let's see twenty one,Romanian,CHRS1,74,chrs1.cha
oh is right here less than that less than this oh here here's snow white and here's snow she's very scary look at snow white she's beautiful snow white look at the birds know because they she's so bad yeah the birds always know look how they look at the bats look at bat who flew down um look here look how she just she just give him alive she give him alive and look what he told him,Romanian,CHRS1,74,chrs1.cha
he will have he will say everything to pinocchio what is right and what is not and pinocchio do what is not right sometimes yeah he cheat he's just look i wanna show you something it's right here no it isn't this is bambi no it isn't and then the um the little that's um magic the magic thing well she she just make him be a boy yeah the fairy magic i think so,Romanian,CHRS1,74,chrs1.cha
you can see all of them um like a under the water it she is very hungry and she is very hot he want some ice cream like there and she was see there that one and she wanna eat it three bugs only oops wrong way oh those are princess i always likes draw princesses i can't draw boy can you draw sure you can hm centre time a little ba baby's a little uh baby's room,Mandarin,CNDX1,81,cndx1.cha
a princess room right there okay that is princess and prince princess and prince i'm six and a half um february twenty six hm barbie or a smarker uhhuh a marker barbies or toys or teddy bear i didn't i didn't have a teddy bear i don't have any i i always look he she said oh i told you i saw a pussy cat um miss see because she is nice to student,Mandarin,CNDX1,81,cndx1.cha
and uh i like i like thursday because thursday have gym and play ball or play get tag i don't like play ball i never like it just play like tag or sand tag tag hm like a painting book reading six reader and painting only three centre time at school just have three people go painting and three people go po go to computer and two people playdoughs puppet on puppet only two people,Mandarin,CNDX1,81,cndx1.cha
just have a little horse house um like uh cinderella or sleeping beauty snow white um oh have other puppet like uh magic pumpkin mm let's see hm um some games you s where i don't like school i don't like school no i like school hm best things on school i like cook classroom uh gym time music class miss miss tee uh show something mu music for us and watch tv watch disney tv,Mandarin,CNDX1,81,cndx1.cha
but sometime we were try something like a bells and big bells learn to play you pass to me me pass to you around and around turn into a jack o lantern just like that and i've i take the paper and i'm out and and again little little circle little a big circle and turn turn to a little circle and look who for who won you don't have this on you is,Mandarin,CNDX1,81,cndx1.cha
why are youstu in what i am saying quack quack quack quack quack quack quack i am not duck hm renee lauren taylor meagan courtney micheala victor zachary jocelyn uh amber jeffrey natalie jess no not anyone cassie or who's that i have two zach on my classroom one is zachary d and then one is zach em i don't have best friend i can't speak english but i don't know,Mandarin,CNDX1,81,cndx1.cha
and you speak to me english is little not a harder english hm big kid because they play tag and i want play with them not play tag and want play with us because i wa i just want play tag maybe next time um chin china uh in i go kindergarten in china beca but i'm done kindergarten and i go grade one in this micheal's school because i'm moving here,Mandarin,CNDX1,81,cndx1.cha
and i'll i'll go i'll go is here york school and i like watch the scare tv and here too like a vampire t tv on a night and one day i really watch the vampire one the vampire ch in the tv uhhuh see do do do smell it feet um i have very many one um uh let's see um let's see and peanut butter mmhm jelly bean i don't know put cereal in in my,Mandarin,CNDX1,81,cndx1.cha
and put milk on my bowl and eat it i like banana or or orange but lettuce is not fruit my friend um danny and suki suki callie is grade seven and suki in grade six in grade four i want um my birthday party's time i want her come with um my house and have two party in my house one is here and one in my room like play barbies computers and um listen radio and reading book,Mandarin,CNDX1,81,cndx1.cha
watch tv here play games here or someone's else eat something in h there and uh danny i told you i want a rabbit or cat or but not not dirty dog or stinky barbie uh sticky puppy no no very stinky very dirty hm little dog little cat li and little rabbit got a garden garden pets and make me make they big and make make they big make my pet big that garden garden little hm little,Mandarin,CNDX1,81,cndx1.cha
mmhm small garden little cat uh make make her big eat eat the fu pet food and change the f i don't have any pets i think i have good idea is i have a dog because i don't have a dog yesterday morning my daddy was take my uh dog food gave me and uhhuh for me that is your breakfast no i didn't a daughter a doctor i i wanna see someone's inside,Mandarin,CNDX1,81,cndx1.cha
because because i really really want see i really really wanna look can we play game after yay my favorite game's come like where i'm waiting on table and my mom take some our favourite food come and like now i'm waiting my mom take my favourite game after you can see some blocks um on my room my favorite favorite game is the blocks and because it is very fun,Mandarin,CNDX1,81,cndx1.cha
and you very be careful you want if you want to play that game how do you know that see that is my see it's my favourite you very be careful on my nose laughs and last one very very many uh much it means that game is very easy but you need to be careful very very be careful if you don't be careful it's not you won you can't won very very be careful maybe you can win,Mandarin,CNDX1,81,cndx1.cha
and maybe i can win if you be careful very very be careful that is my favourite favourite game be but i don't have meh much time play for that game that is my favourite game i make high like that if you're like that and you're a cheese cheat i wanna be cheater too anyone that wanna be cheater because cheater is not good kid i am very very be careful i have no idea very be careful,Mandarin,CNDX1,81,cndx1.cha
um my best tv is uh teletoon and y t v the last uh treehouse know know anything uh and is a busy time in treehouse oh look at that here like very scared very scared and i watch the watch the vampire show scary show in friday night uh you know why i wanna watch in the friday in the saturday because it was really long time and very late sometime i watch is very late,Mandarin,CNDX1,81,cndx1.cha
but uh but if you want watch the vampire show down is very late is very long time and a horse a dog and first thing i want ask how she come the magic sticks i want a magic sticks and a magic clothes not very feet close and not very things close but i'm not very feet and and not very things things like that i want glass uhhuh but it's not very bew isn't it,Mandarin,CNDX1,81,cndx1.cha
and i would and last thing i want a magic princess barbie like uh little dresses uh magic sticks and a hat and a little gloves and glass shoes okay game is ready can i be first but if i took that one just those two in here and if if you take that one because if you take that one off is fall you don't have to take very hard a block blocks,Mandarin,CNDX1,81,cndx1.cha
and little little higher like that higher higher that high i don't think so hm sometimes very much time i'm shopping with my mother like uh some bought uh some food um first i go shopping and last i'll go i go zeller and bought a a clothes for me is it my turn i can take okay i wanna take here i can move that my god this is very hard i don't know,Mandarin,CNDX1,81,cndx1.cha
maybe i done my dinner and read my rabbit book with my teddy hm no no i don't i don't really have anything else thursday and i have something for thursday i can watch tv little longer time oh you took here i already told you read library book with my daddy because tomorrow i hand in my library book and took other library book very very be careful i can eat the ice cream,Mandarin,CNDX1,81,cndx1.cha
and i can i can put on the dress i no like sna snow snowmen day because i need put my ski pants on and coat on and and hat mitten or gloves or i don't like that because i don't have very many much time for me put clothes on put spoon on put ski pants on i don't like it and and and i don't like ski pants because my,Mandarin,CNDX1,81,cndx1.cha
